Hierarchy,Id,Term,Condition
Procedure (procedure),440453000,Angiography of carotid artery and aortic arch,New localized concept
Procedure (procedure),702457001,Drainage of upper extremity using fluoroscopic guidance,New localized concept
Procedure (procedure),702458006,Aspiration of lower extremity using fluoroscopic guidance,New localized concept
Procedure (procedure),702459003,Aspiration of upper extremity using fluoroscopic guidance,New localized concept
Procedure (procedure),702460008,Biopsy of lower extremity using fluoroscopic guidance,New localized concept
Procedure (procedure),702722000,MR of scapula with contrast,New localized concept
Procedure (procedure),702791003,Fluoroscopic arthrography of hip,New localized concept
Procedure (procedure),709502002,MR Sternum With Contrast,New localized concept
Procedure (procedure),709505000,MR Scrotum With Contrast,New localized concept
Procedure (procedure),709521005,MRI of calf,New localized concept
Procedure (procedure),709522003,MR Ovary With Contrast,New localized concept
Procedure (procedure),709523008,MR Rectum With Contrast,New localized concept
Procedure (procedure),709524002,MR Spleen With Contrast,New localized concept
Procedure (procedure),709525001,MR Prostate With Contrast,New localized concept
Procedure (procedure),709526000,MR Clavicle With Contrast,New localized concept
Procedure (procedure),709527009,MR of sacral spine with contrast,New localized concept
Procedure (procedure),709528004,MR Bladder With Contrast,New localized concept
Procedure (procedure),709529007,RF Pancreas Aspiration,New localized concept
Procedure (procedure),709531003,RF Spleen Injection,New localized concept
Procedure (procedure),709546005,CT Kidney Aspiration,New localized concept
Procedure (procedure),709547001,CT of sacroiliac joints with contrast,New localized concept
Procedure (procedure),709548006,NM VCT Neck,New localized concept
Procedure (procedure),709549003,NM VCT Heart,New localized concept
Procedure (procedure),709550003,CT Esophagus,New localized concept
Procedure (procedure),709551004,CT Nerve Block,New localized concept
Procedure (procedure),709552006,CT Iliac Angiography,New localized concept
Procedure (procedure),709553001,CT Mesenteric Angiography,New localized concept
Procedure (procedure),709554007,CT Hepatic Angiography,New localized concept
Procedure (procedure),709555008,CT Femoral Angiography,New localized concept
Procedure (procedure),709565002,MR Angiography with Contrast,New localized concept
Procedure (procedure),709566001,MR Vertebral Artery,New localized concept
Procedure (procedure),709567005,MR Spine Angiography With Contrast,New localized concept
Procedure (procedure),709568000,MR Carotid Angiography With Contrast,New localized concept
Procedure (procedure),709569008,Magnetic resonance angiography of extremity,New localized concept
Procedure (procedure),709570009,Magnetic resonance angiography of extremity with contrast,New localized concept
Procedure (procedure),709571008,Magnetic resonance angiography of pelvis with contrast,New localized concept
Procedure (procedure),709572001,MR Renal Arteries With contrast,New localized concept
Procedure (procedure),709573006,Magnetic resonance angiography of upper extremity,New localized concept
Procedure (procedure),709574000,Magnetic resonance venography of intracranial veins with contrast,New localized concept
Procedure (procedure),709575004,Magnetic resonance venography of pelvis with contrast,New localized concept
Procedure (procedure),709576003,Magnetic resonance venography of abdomen with contrast,New localized concept
Procedure (procedure),709577007,MR Abdomen Venography,New localized concept
Procedure (procedure),709578002,MR Parotid Gland With Contrast,New localized concept
Procedure (procedure),709579005,MR Mandible With Contrast,New localized concept
Procedure (procedure),709580008,MR Nasopharynx With Contrast,New localized concept
Procedure (procedure),709581007,MR Extremity Arthrography With Contrast,New localized concept
Procedure (procedure),709586002,CT angiography of pelvic arteries,New localized concept
Procedure (procedure),709589009,US Salivary Gland Injection,New localized concept
Procedure (procedure),709591001,RF Liver Drainage,New localized concept
Procedure (procedure),709593003,RF Neck Aspiration,New localized concept
Procedure (procedure),709595005,RF Spleen Biopsy,New localized concept
Procedure (procedure),709616004,US Neck Injection,New localized concept
Procedure (procedure),709618003,US Joint Injection,New localized concept
Procedure (procedure),709619006,RF Neck Injection,New localized concept
Procedure (procedure),709620000,XA Injection,New localized concept
Procedure (procedure),709621001,XA Thrombin Injection,New localized concept
Procedure (procedure),709622008,XA Sclerotherapy,New localized concept
Procedure (procedure),709623003,CT Joint Injection,New localized concept
Procedure (procedure),709624009,CT Facet Joint Injection,New localized concept
Procedure (procedure),709625005,RF Stomach Biopsy,New localized concept
Procedure (procedure),709626006,RF Thyroid Biopsy,New localized concept
Procedure (procedure),709628007,RF Breast Biopsy,New localized concept
Procedure (procedure),709629004,RF Lower Extremity Bone Biopsy,New localized concept
Procedure (procedure),709630009,CT Adrenal Gland Biopsy,New localized concept
Procedure (procedure),709631008,CT Retroperitoneal Biopsy,New localized concept
Procedure (procedure),709632001,CT Ureter Biopsy,New localized concept
Procedure (procedure),709633006,CT Peritoneum Biopsy,New localized concept
Procedure (procedure),709634000,CT Prostate Biopsy,New localized concept
Procedure (procedure),709635004,CT Neck Biopsy with Contrast,New localized concept
Procedure (procedure),709639005,US Portal Vein Doppler,New localized concept
Procedure (procedure),709640007,US Renal Vein Doppler,New localized concept
Procedure (procedure),709641006,Ultrasonography of paranasal sinuses,New localized concept
Procedure (procedure),709642004,US Retroperitoneal Biopsy,New localized concept
Procedure (procedure),709643009,US peritoneum Biopsy,New localized concept
Procedure (procedure),709644003,US Spleen Biopsy,New localized concept
Procedure (procedure),709645002,Biopsy of upper extremity using ultrasonographic guidance,New localized concept
Procedure (procedure),709646001,Biopsy of lower extremity using ultrasonographic guidance,New localized concept
Procedure (procedure),709648000,Doppler ultrasonography of iliac arteries,New localized concept
Procedure (procedure),709649008,Doppler ultrasonography of iliac vessels,New localized concept
Procedure (procedure),709650008,MR Breast Localization,New localized concept
Procedure (procedure),709652000,MR Lumbar Spine Pelvis With Contrast,New localized concept
Procedure (procedure),709653005,MRI of lumbar spine and sacroiliac joints with contrast,New localized concept
Procedure (procedure),709654004,CT Renal Cyst Aspiration,New localized concept
Procedure (procedure),709655003,CT Peritoneum Aspiration,New localized concept
Procedure (procedure),709656002,RF Liver,New localized concept
Procedure (procedure),709657006,RF Breast,New localized concept
Procedure (procedure),709658001,RF Thyroid Aspiration,New localized concept
Procedure (procedure),709659009,RF Breast Drainage,New localized concept
Procedure (procedure),709660004,Embolization of pelvic artery using fluoroscopic guidance,New localized concept
Procedure (procedure),709661000,Aspiration of extremity using ultrasonographic guidance,New localized concept
Procedure (procedure),709662007,XA Portal Vein Embolization,New localized concept
Procedure (procedure),709664008,CT of nasal bones,New localized concept
Procedure (procedure),709665009,CT Gastrography,New localized concept
Procedure (procedure),709688005,RF Pericardial Drainage,New localized concept
Procedure (procedure),709689002,Drainage of extremity using fluoroscopic guidance,New localized concept
Procedure (procedure),709690006,RF Bladder Drainage,New localized concept
Procedure (procedure),709691005,Drainage of extremity using ultrasonographic guidance,New localized concept
Procedure (procedure),709697009,CT Ileal Conduit,New localized concept
Procedure (procedure),709698004,CT of lumbar spine and sacroiliac joints with contrast,New localized concept
Procedure (procedure),709699007,CT of teeth,New localized concept
Procedure (procedure),709700008,CT of extremity with contrast,New localized concept
Procedure (procedure),709766004,CT Axilla with Contrast,New localized concept
Procedure (procedure),709767008,CT Pelvis Angiography,New localized concept
Procedure (procedure),709768003,CT angiography of extremity arteries,New localized concept
Procedure (procedure),709772004,CT coccyx with contrast,New localized concept
Procedure (procedure),709845004,MR Extremity with Contrast,New localized concept
Procedure (procedure),709851009,RF Lumbar Drainage,New localized concept
Procedure (procedure),709855000,Finger brachial pressure index using ultrasonographic guidance,New localized concept
Procedure (procedure),709857008,XA Aortic Aneurysm Repair,New localized concept
Procedure (procedure),709858003,US Joint Aspiration,New localized concept
Procedure (procedure),709859006,NM Knee Arthrography,New localized concept
Procedure (procedure),709860001,XA Superior Vena Cava Angioplasty,New localized concept
Procedure (procedure),709861002,XA Abdomen Aorta Angioplasty,New localized concept
Procedure (procedure),709862009,XA Fistula Angioplasty,New localized concept
Procedure (procedure),709863004,XA Abdomen Angioplasty,New localized concept
Procedure (procedure),709979004,Doppler ultrasonography of arteries,New localized concept
Procedure (procedure),709980001,Fallopian tube procedure using fluroscopic guidance,New localized concept
Procedure (procedure),709981002,XA Cardiac Atherectomy,New localized concept
Procedure (procedure),709982009,NM Hip Arthrography,New localized concept
Procedure (procedure),709983004,RF Pleurodesis,New localized concept
Procedure (procedure),709990009,RF Breast Aspiration,New localized concept
Procedure (procedure),709996003,US Pseudoaneurysm,New localized concept
Procedure (procedure),710073000,CT Head Neck Chest Angiography,New localized concept
Procedure (procedure),710074006,Fluoroscopic angioplasty of abdominal aorta&#44; iliac and femoral arteries,New localized concept
Procedure (procedure),710129002,Splanchnic plexus neurolysis using fluoroscopic guidance,New localized concept
Procedure (procedure),710130007,Venography of vena cava,New localized concept
Procedure (procedure),710131006,Embolization of extremity artery using fluoroscopic guidance,New localized concept
Procedure (procedure),710132004,XA Arterial Catheterization,New localized concept
Procedure (procedure),710133009,US Thoracic Outlet,New localized concept
Procedure (procedure),710161003,Angiography and atherectomy of lower extremity artery,New localized concept
Procedure (procedure),710162005,US Vascular Fistula Doppler,New localized concept
Procedure (procedure),710163000,Angiography of abdominal artery with insertion of stent,New localized concept
Procedure (procedure),710164006,XA Abdomen Embolization,New localized concept
Procedure (procedure),710201007,Angiography of spine vessels with contrast,New localized concept
Procedure (procedure),710203005,Therapeutic enema with contrast for reduction of intussusception using fluoroscopic guidance,New localized concept
Procedure (procedure),710207006,RF Cystostomy,New localized concept
Procedure (procedure),710210004,US Fistula,New localized concept
Procedure (procedure),710240002,US Head Neck Aspiration,New localized concept
Procedure (procedure),710241003,US Foreign Body Removal,New localized concept
Procedure (procedure),710285001,XA Transarterial Chemoembolization,New localized concept
Procedure (procedure),710286000,Embolization of arteries of head and neck using fluoroscopic guidance,New localized concept
Procedure (procedure),710288004,RF Sigmoidoscopy,New localized concept
Procedure (procedure),710289007,RF Osteoplasty,New localized concept
Procedure (procedure),710291004,RF Endoscopy,New localized concept
Procedure (procedure),710293001,RF Colonoscopy,New localized concept
Procedure (procedure),710294007,RF Urodynamics,New localized concept
Procedure (procedure),710299002,RF Extremity Fistulography,New localized concept
Procedure (procedure),710300005,CT Lower Extremity Arthrography,New localized concept
Procedure (procedure),710301009,CT Upper Extremity Arthrography,New localized concept
Procedure (procedure),710302002,Radionuclide arthrography of lower limb,New localized concept
Procedure (procedure),710303007,Ultrasonography of shunt,New localized concept
Procedure (procedure),710306004,US Venous Doppler,New localized concept
Procedure (procedure),710307008,Biopsy of extremity using computed tomography guidance,New localized concept
Procedure (procedure),710310001,Angiography of brachial artery,New localized concept
Procedure (procedure),710312009,Radionuclide study of hepatic perfusion using technetium Tc^99m^ aggregated albumin,New localized concept
Procedure (procedure),710313004,NM Peritoneal Imaging,New localized concept
Procedure (procedure),710316007,Ultrasonography of cervix,New localized concept
Procedure (procedure),710339001,Angiography of chest,New localized concept
Procedure (procedure),710341000,Doppler ultrasonography of abdominal vessels,New localized concept
Procedure (procedure),710342007,Doppler ultrasonography of abdominal veins,New localized concept
Procedure (procedure),710343002,Doppler ultrasonography of arteries of extremity,New localized concept
Procedure (procedure),710344008,Doppler ultrasonography of extremity vessels,New localized concept
Procedure (procedure),710791003,CT Paracentesis,New localized concept
Procedure (procedure),710794006,CT Feeding Tube,New localized concept
Procedure (procedure),710797004,Intramedullary nailing using fluoroscopic guidance,New localized concept
Procedure (procedure),711181007,Aspiration of upper extremity using ultrasonographic guidance,New localized concept
Procedure (procedure),711182000,Aspiration of lower extremity using ultrasonographic guidance,New localized concept
Procedure (procedure),711184004,MR of head and cervical spine,New localized concept
Procedure (procedure),711185003,MR of head and spine,New localized concept
Procedure (procedure),711186002,MR of head and cervical spine with contrast,New localized concept
Procedure (procedure),711187006,MR of head and spine with contrast,New localized concept
Procedure (procedure),711207003,RF Cyst Punture,New localized concept
Procedure (procedure),711208008,Needle localization of breast using ultrasonographic guidance,New localized concept
Procedure (procedure),711209000,Insertion of cerebral vessel stent using fluoroscopic guidance,New localized concept
Procedure (procedure),711210005,CT Cholecystostomy,New localized concept
Procedure (procedure),711217008,RF Cervical Puncture,New localized concept
Procedure (procedure),711220000,X-ray of extremity regions,New localized concept
Procedure (procedure),711222008,XA Extremity Angioplasty,New localized concept
Procedure (procedure),711223003,Doppler ultrasonography of neck,New localized concept
Procedure (procedure),711224009,CT Lumbosacral Spine,New localized concept
Procedure (procedure),711225005,XR Injection,New localized concept
Procedure (procedure),711226006,XR Bone Biopsy,New localized concept
Procedure (procedure),711231008,Doppler ultrasonography of veins of extremity,New localized concept
Procedure (procedure),711269003,Splenoportography,New localized concept
Procedure (procedure),711271003,Lumbar spine puncture using computed tomography guidance,New localized concept
