Hierarchy,Id,Term,ChangeType,DefinitionStatus
Clinical finding (finding),2481000146100,Stricture of thoracoabdominal aorta (disorder),Stated view change,Primitive
Clinical finding (finding),2501000146108,Vestibular vaginitis (disorder),Stated view change,Primitive
Clinical finding (finding),2511000146105,Congenital anomaly of lymphatic structure of lung (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2531000146103,Neuropathy in haematological disorders (disorder),Stated view change,Primitive
Clinical finding (finding),2721000146109,Abscess of skin of lower limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2731000146106,Abscess of skin of upper limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2741000146103,Acquired extension deformity (disorder),Stated view change,Primitive
Clinical finding (finding),2751000146100,Acquired flexion deformity (disorder),Stated view change,Primitive
Clinical finding (finding),2761000146102,Acquired rotational deformity (disorder),Stated view change,Primitive
Clinical finding (finding),2771000146108,Acquired deformity of inner ear (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2781000146105,Acquired deformity of larynx (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2791000146107,Acute compartment syndrome (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),2791000146107,acuut compartimentsyndroom (aandoening),Stated view change,Sufficiently defined
Clinical finding (finding),2801000146106,Acute hypertensive renal failure (disorder),Stated view change,Primitive
Clinical finding (finding),2811000146108,Acute lymphoid leukemia with t(4;11)(q21;q23); MLL-AF4 (disorder),Stated view change,Primitive
Clinical finding (finding),3301000146107,Bacterial carditis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3321000146104,Acute pancreatitis due to hypertriglyceridemia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3391000146101,Benign neoplasm of arachnoid mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3401000146103,Benign neoplasm of pia mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3771000146104,Chemodectoma of glomus jugulare (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3781000146102,Chronic epiglottitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3831000146106,Chronic hypertensive renal failure (disorder),Stated view change,Primitive
Clinical finding (finding),3841000146103,Chronic subglottic laryngitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3871000146108,Cleft jaw (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3931000146103,Concussion of lumbar spine (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3941000146106,Concussion of cervical spine (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3951000146109,Concussion of thoracic spine (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),3971000146101,Congenital anomaly of seminal vesicle (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),4301000146109,Cutaneous infectious disease due to atypical Mycobacteria (disorder),Stated view change,Primitive
Clinical finding (finding),4331000146104,Lymphoproliferative syndrome with ITK deficiency (disorder),Stated view change,Primitive
Clinical finding (finding),6801000146107,Decompensated alcoholic cirrhosis (disorder),Stated view change,Primitive
Clinical finding (finding),6841000146105,Degenerative low back pain (finding),Stated view change,Primitive
Clinical finding (finding),6861000146106,Dislocation of acromioclavicular joint&#44; Tossi grade 1 (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6871000146100,Dislocation of acromioclavicular joint&#44; Tossi grade 2 (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6881000146103,Dislocation of acromioclavicular joint&#44; Tossi grade 3 (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6891000146101,Edema of larynx due to trauma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6911000146103,Myoma of uterine cervix (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),6931000146105,Enthesopathy of wrist (disorder),Stated view change,Primitive
Clinical finding (finding),6941000146102,Kaposi's sarcoma of soft palate (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7001000146101,Kaposi's sarcoma of hard palate (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7011000146104,Small cell carcinoma of bronchus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7021000146109,Injury of lumbar sympathetic nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7031000146106,Tuberculoma of lung (disorder),Stated view change,Primitive
Clinical finding (finding),7041000146103,Malignant neoplasm of skin of anterior portion of neck (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7051000146100,Mucous cyst of toe (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7061000146102,Mucous cyst of finger (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7071000146108,Non-small cell carcinoma of bronchus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7081000146105,Occlusion of anterior cerebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7091000146107,Occlusion of posterior cerebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7101000146100,Occlusion of middle cerebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7111000146103,Primary malignant neoplasm of spinal nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7181000146109,Papilloma of pharynx (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7191000146106,Monomorphic adenoma of parotid gland (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7281000146104,Viral otitis media (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7291000146102,Rupture of mesenteric artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7301000146103,Rupture of renal artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7311000146101,Inguinal lymphadenitis (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7321000146106,Mucocele of ethmoid sinus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7331000146108,Mucocele of frontal sinus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7351000146102,Intubation granuloma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7381000146107,Finding of placental position (finding),Stated view change,Primitive
Clinical finding (finding),7411000146109,Furuncle of lip (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7421000146104,Granuloma of oral mucous membrane (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7471000146100,Fetal torsion of testis (disorder),Stated view change,Primitive
Clinical finding (finding),7501000146106,Third degree caustic burn of upper limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7531000146101,Second degree caustic burn of hand (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7541000146109,Third degree caustic burn of hand (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7551000146107,Third degree caustic burn of lower extremity (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7571000146104,Neuralgia of infraorbital nerve (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7581000146102,Painful scar of vulva (finding),Stated view change,Primitive
Clinical finding (finding),7591000146100,Hereditary carpal tunnel syndrome (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7631000146100,Tibial nerve neuralgia (disorder),Stated view change,Primitive
Clinical finding (finding),7641000146108,Saphenous neuralgia (disorder),Stated view change,Primitive
Clinical finding (finding),7651000146106,Peroneal neuralgia (disorder),Stated view change,Primitive
Clinical finding (finding),7681000146101,Sarcoidosis of spinal cord (disorder),Stated view change,Primitive
Clinical finding (finding),7691000146104,Gastrointestinal stromal tumor of cardia (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),7721000146107,Unstable lie (finding),Stated view change,Primitive
Clinical finding (finding),8621000146101,Acute myeloid leukemia with FLT3 mutation (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8661000146108,Complete diphallus (disorder),Stated view change,Primitive
Clinical finding (finding),8671000146102,Degenerative ankle joint pain (finding),Stated view change,Primitive
Clinical finding (finding),8691000146103,Partial diphallus (disorder),Stated view change,Primitive
Clinical finding (finding),8741000146100,Abnormal vision with eye glasses (finding),Stated view change,Primitive
Clinical finding (finding),8771000146105,Acquired strabismus (disorder),Stated view change,Primitive
Clinical finding (finding),8941000146103,Angiomatous meningioma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8951000146100,Atypical meningioma (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8961000146102,Benign neoplasm of dura mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),8971000146108,Carrier of bacterium (finding),Stated view change,Sufficiently defined
Clinical finding (finding),8981000146105,Carrier of virus (finding),Stated view change,Sufficiently defined
Clinical finding (finding),8991000146107,Chordoid meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9001000146107,Clear cell meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9021000146104,Fibrous meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9061000146106,Intraspinal neoplasm (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9071000146100,Meningothelial meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9081000146103,Metaplastic meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9091000146101,Microcystic meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9101000146108,Myositis of lower limb (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9111000146105,Oligoastrocytoma&#44; low grade (disorder),Stated view change,Primitive
Clinical finding (finding),9121000146100,Otitis externa after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9131000146103,Papillary meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9141000146106,Pilocytic astrocytoma (disorder),Stated view change,Primitive
Clinical finding (finding),9151000146109,Psammomatous meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9161000146107,Rhabdoid meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9171000146101,Secondary malignant neoplasm of dura mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9181000146104,Secondary malignant neoplasm of nerve plexus (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9191000146102,Secondary malignant neoplastm of pia mater (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9201000146100,Secretory meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9361000146109,Testicular hypofunction after procedure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),9371000146103,Transitional meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),9381000146101,Viral meningoencephalitis (disorder),Stated view change,Primitive
Clinical finding (finding),9391000146104,Lymphoplasmocyte-rich meningioma (disorder),Stated view change,Primitive
Clinical finding (finding),11651000146101,Disorder of retinal pigment epithelial (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11671000146109,Arteritic anterior ischemic optic neuropathy (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11711000146105,Neoplasm of pituitary gland associated with compression of optic chiasm (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11771000146101,On examination - heart function normal (finding),Stated view change,Primitive
Clinical finding (finding),11781000146104,Thoracic pain (finding),Stated view change,Sufficiently defined
Clinical finding (finding),11791000146102,Transmural myocardial infarction of anterior wall (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11801000146103,Exacerbation of chronic heart failure (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11821000146106,Atypical atrial flutter (disorder),Stated view change,Primitive
Clinical finding (finding),11841000146100,Congenital anomaly of heart septum (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11861000146104,Surgically constructed pathway through heart from inferior vena cava and superior vena cava to pulmonary artery present (finding),Stated view change,Primitive
Clinical finding (finding),11871000146105,Cardiomyopathy secondary to metabolic disorder (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11891000146109,Thromboembolism of iliac artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11901000146105,Thromboembolism of mesenteric artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11911000146107,Thromboembolism of mesenteric vein (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11921000146102,Thromboembolism of tibial artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11931000146100,Thromboembolism of vertebral artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11941000146108,Thrombosis of axillary artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11951000146106,Thrombosis of radial artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11961000146109,Thrombosis of tibial artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),11971000146103,Postoperative bacterial mediastinitis (disorder),Stated view change,Primitive
Clinical finding (finding),12011000146104,Convalescence after percutaneous transluminal coronary angioplasty (finding),Stated view change,Primitive
Clinical finding (finding),12021000146109,Convalescence after coronary artery bypass grafting (finding),Stated view change,Primitive
Clinical finding (finding),12121000146108,Transplanted heart-lung present (finding),Stated view change,Primitive
Clinical finding (finding),12141000146102,Thromboembolism of carotid artery (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12161000146101,Penetrating wound of eye with intraocular prolapse (disorder),Stated view change,Primitive
Clinical finding (finding),12171000146107,Penetrating wound of eye without intraocular prolapse (disorder),Stated view change,Primitive
Clinical finding (finding),12191000146106,Heart transplant present (finding),Stated view change,Primitive
Clinical finding (finding),12201000146108,Adverse event following drug therapy (disorder),Stated view change,Primitive
Clinical finding (finding),12391000146109,Acquired absence of kidney (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12401000146107,Accelerated neuropathy in renal failure (disorder),Stated view change,Primitive
Clinical finding (finding),12431000146102,Metastatic malignant neoplasm of ureter (disorder),Stated view change,Primitive
Clinical finding (finding),12451000146108,Infection of drain insertion site (disorder),Stated view change,Sufficiently defined
Clinical finding (finding),12481000146103,Metastatic malignant neoplasm of penis (disorder),Stated view change,Primitive
Clinical finding (finding),12491000146101,Rupture of corpus spongiosum (disorder),Stated view change,Sufficiently defined
