Hierarchy,Id,Term,Condition
Body structure (body structure),15776009,structure du pancréas (structure corporelle),Existing localized concept
Body structure (body structure),17307002,transsudat (anomalie morphologique),Existing localized concept
Body structure (body structure),17529004,configuration en zigzag des crêtes mitochondriales (structure cellulaire),Existing localized concept
Body structure (body structure),18115005,calcification pathologique (anomalie morphologique),Existing localized concept
Body structure (body structure),18867006,réparation tissulaire (anomalie morphologique),Existing localized concept
Body structure (body structure),19771006,cicatrisation de première intention (anomalie morphologique),Existing localized concept
Body structure (body structure),19787009,structure des voies urinaires inférieures (structure corporelle),Existing localized concept
Body structure (body structure),20139000,structure de l'appareil respiratoire (structure corporelle),Existing localized concept
Body structure (body structure),20575005,structure du vortex du cœur (structure corporelle),Existing localized concept
Body structure (body structure),20663007,apoptose (anomalie morphologique),Existing localized concept
Body structure (body structure),21229009,topographie non attribuée (structure corporelle),Existing localized concept
Body structure (body structure),21390004,anomalie du développement (anomalie morphologique),Existing localized concept
Body structure (body structure),21483005,structure du système nerveux central (structure corporelle),Existing localized concept
Body structure (body structure),21514008,structure de l'appareil génito-urinaire (structure corporelle),Existing localized concept
Body structure (body structure),21814001,structure du ventricule cardiaque (structure corporelle),Existing localized concept
Body structure (body structure),23583003,inflammation (anomalie morphologique),Existing localized concept
Body structure (body structure),24137005,orientation concentrique des crêtes mitochondriales (structure cellulaire),Existing localized concept
Body structure (body structure),24486003,greffon (structure corporelle),Existing localized concept
Body structure (body structure),24964005,structure du système de conduction cardiaque (structure corporelle),Existing localized concept
Body structure (body structure),25087005,structure du système nerveux (structure corporelle),Existing localized concept
Body structure (body structure),25271004,structure de la jonction cardio-œsophagienne (structure corporelle),Existing localized concept
Body structure (body structure),25499005,kératose séborrhéique (anomalie morphologique),Existing localized concept
Body structure (body structure),25659002,rétrécissement (anomalie morphologique),Existing localized concept
Body structure (body structure),25694009,papule (anomalie morphologique),Existing localized concept
Body structure (body structure),26036001,obstruction (anomalie morphologique),Existing localized concept
Body structure (body structure),26107004,structure de l'appareil locomoteur (structure corporelle),Existing localized concept
Body structure (body structure),26864007,structure du produit de conception (structure corporelle),Existing localized concept
Body structure (body structure),28661005,structure du système vasculaire cérébral (structure corporelle),Existing localized concept
Body structure (body structure),28960008,artériosclérose (anomalie morphologique),Existing localized concept
Body structure (body structure),29092000,structure veineuse (structure corporelle),Existing localized concept
Body structure (body structure),29445007,structure d'une conjonctive (structure corporelle),Existing localized concept
Body structure (body structure),31113003,diverticule (anomalie morphologique),Existing localized concept
Body structure (body structure),31593006,lésion minime (anomalie morphologique),Existing localized concept
Body structure (body structure),31782006,disposition serrée des crêtes mitochondriales (structure cellulaire),Existing localized concept
Body structure (body structure),31883006,fusion (anomalie morphologique),Existing localized concept
Body structure (body structure),33359002,dégénérescence (anomalie morphologique),Existing localized concept
Body structure (body structure),33840008,périoste (structure corporelle),Existing localized concept
Body structure (body structure),34402009,structure du rectum (structure corporelle),Existing localized concept
Body structure (body structure),34508005,structure de la muqueuse nasale (structure corporelle),Existing localized concept
Body structure (body structure),34707002,structure des voies biliaires (structure corporelle),Existing localized concept
Body structure (body structure),35714009,changement postmortem (anomalie morphologique),Existing localized concept
Body structure (body structure),37387007,relation intercellulaire&#44; caractérisée par la présence de systèmes spécialisés d'adhésion (structure corporelle),Existing localized concept
Body structure (body structure),37782003,atteinte (anomalie morphologique),Existing localized concept
Body structure (body structure),38033009,moignon d'amputation (structure corporelle),Existing localized concept
Body structure (body structure),38464002,structure d'un nerf médian (structure corporelle),Existing localized concept
Body structure (body structure),39266006,cellule anormale (cellule),Existing localized concept
Body structure (body structure),39352004,structure articulaire (structure corporelle),Existing localized concept
Body structure (body structure),39607008,structure d'un poumon (structure corporelle),Existing localized concept
Body structure (body structure),39801007,site d'application (structure corporelle),Existing localized concept
Body structure (body structure),39928001,réparation excessive (anomalie morphologique),Existing localized concept
Body structure (body structure),39937001,structure de la peau (structure corporelle),Existing localized concept
Body structure (body structure),40146001,structure du cortex cérébral (structure corporelle),Existing localized concept
Body structure (body structure),41052006,structure d'un cartilage articulaire (structure corporelle),Existing localized concept
Body structure (body structure),41216001,structure de la prostate (structure corporelle),Existing localized concept
Body structure (body structure),41329004,polype (anomalie morphologique),Existing localized concept
Body structure (body structure),41801008,structure d'une artère coronaire (structure corporelle),Existing localized concept
Body structure (body structure),42235004,structure de la disposition des dermatoglyphes (structure corporelle),Existing localized concept
Body structure (body structure),42889006,relation intercellulaire&#44; caractérisée par une interdigitation (structure corporelle),Existing localized concept
Body structure (body structure),43049006,disposition particulière des crêtes mitochondriales (structure cellulaire),Existing localized concept
Body structure (body structure),43865008,inflammation hémorragique aiguë (anomalie morphologique),Existing localized concept
Body structure (body structure),44032009,structure nasale externe (structure corporelle),Existing localized concept
Body structure (body structure),44132006,morphologie d'un abcès (anomalie morphologique),Existing localized concept
Body structure (body structure),44571003,structure des fibres méridiennes du muscle ciliaire (structure corporelle),Existing localized concept
Body structure (body structure),45206002,structure nasale (structure corporelle),Existing localized concept
Body structure (body structure),46813004,agrégation mitochondriale dans le cytoplasme (structure cellulaire),Existing localized concept
Body structure (body structure),47260009,aspect en nid d'abeille (anomalie morphologique),Existing localized concept
Body structure (body structure),48677004,cicatrice en voie de guérison (anomalie morphologique),Existing localized concept
Body structure (body structure),49293007,pseudotumeur (anomalie morphologique),Existing localized concept
Body structure (body structure),49755003,structure anormale sur le plan morphologique (anomalie morphologique),Existing localized concept
Body structure (body structure),50960005,hémorragie (anomalie morphologique),Existing localized concept
Body structure (body structure),51185008,structure du thorax (structure corporelle),Existing localized concept
Body structure (body structure),51576004,structure de multiples sites topographiques (structure corporelle),Existing localized concept
Body structure (body structure),51833009,structure du système vasculaire périphérique (structure corporelle),Existing localized concept
Body structure (body structure),52225003,structure du canal spinal lombal (structure corporelle),Existing localized concept
Body structure (body structure),52529005,relation intercellulaire&#44; caractérisée par l'abondance de systèmes spécialisés d'adhésion (structure corporelle),Existing localized concept
Body structure (body structure),52530000,structure de la région corporelle (structure corporelle),Existing localized concept
Body structure (body structure),52612000,structure de la région lombale (structure corporelle),Existing localized concept
Body structure (body structure),53065001,appareil génital féminin (structure corporelle),Existing localized concept
Body structure (body structure),53505006,structure anale (structure corporelle),Existing localized concept
Body structure (body structure),53620006,structure de l'articulation temporomandibulaire (structure corporelle),Existing localized concept
Body structure (body structure),54094000,relation intercellulaire&#44; caractérisée par un contact focal cellulaire (structure corporelle),Existing localized concept
Body structure (body structure),55214000,structure d'une bronchiole (structure corporelle),Existing localized concept
Body structure (body structure),55641003,infarctus (anomalie morphologique),Existing localized concept
Body structure (body structure),56246009,hypertrophie (anomalie morphologique),Existing localized concept
Body structure (body structure),56381008,calcul (anomalie morphologique),Existing localized concept
Body structure (body structure),57171008,structure du système hématopoïétique (structure corporelle),Existing localized concept
Body structure (body structure),57312000,structure sexuelle (structure corporelle),Existing localized concept
Body structure (body structure),57697001,modification de la croissance (anomalie morphologique),Existing localized concept
Body structure (body structure),59652004,structure d'un atrium (structure corporelle),Existing localized concept
Body structure (body structure),59820001,structure d'un vaisseau sanguin (structure corporelle),Existing localized concept
Body structure (body structure),61838003,nouvelle formation osseuse (anomalie morphologique),Existing localized concept
Body structure (body structure),62254007,orientation longitudinale des crêtes mitochondriales (structure cellulaire),Existing localized concept
Body structure (body structure),62518009,orientation transverse des crêtes mitochondriales (structure cellulaire),Existing localized concept
Body structure (body structure),63130001,cicatrice chirurgicale (anomalie morphologique),Existing localized concept
Body structure (body structure),64033007,structure d'un rein (structure corporelle),Existing localized concept
Body structure (body structure),64760005,chondriosphère (structure cellulaire),Existing localized concept
Body structure (body structure),64799002,structure d'une aponévrose plantaire (structure corporelle),Existing localized concept
Body structure (body structure),66019005,structure d'un membre (structure corporelle),Existing localized concept
Body structure (body structure),67146008,neuropile (structure corporelle),Existing localized concept
Body structure (body structure),68245003,dégénérescence spongieuse (anomalie morphologique),Existing localized concept
Body structure (body structure),68703001,structure de la choroïde (structure corporelle),Existing localized concept
Body structure (body structure),69536005,structure de la tête (structure corporelle),Existing localized concept
Body structure (body structure),69695003,structure de l'estomac (structure corporelle),Existing localized concept
Body structure (body structure),69748006,structure de la thyroïde (structure corporelle),Existing localized concept
Body structure (body structure),70145005,arrangement de sarcomère (structure cellulaire),Existing localized concept
Body structure (body structure),70310009,schizocyte (cellule),Existing localized concept
Body structure (body structure),71060000,cicatrisation secondaire (anomalie morphologique),Existing localized concept
Body structure (body structure),71616004,structure musculaire (structure corporelle),Existing localized concept
Body structure (body structure),71854001,structure du côlon (structure corporelle),Existing localized concept
Body structure (body structure),71911007,infarctus cicatrisé (anomalie morphologique),Existing localized concept
Body structure (body structure),72307006,relation intercellulaire&#44; caractérisée par une séparation cellulaire&#44; un contact minime ou absent (structure corporelle),Existing localized concept
Body structure (body structure),72849007,zone déclic (structure corporelle),Existing localized concept
Body structure (body structure),74281007,structure du myocarde (structure corporelle),Existing localized concept
Body structure (body structure),76142002,relation intercellulaire&#44; caractérisée par le peu de systèmes spécialisés d'adhésion (structure corporelle),Existing localized concept
Body structure (body structure),76752008,structure mammaire (structure corporelle),Existing localized concept
Body structure (body structure),78076003,cristallin (structure corporelle),Existing localized concept
Body structure (body structure),78696007,structure du pancréas endocrine (structure corporelle),Existing localized concept
Body structure (body structure),78961009,structure de la rate (structure corporelle),Existing localized concept
Body structure (body structure),79644001,modification de la pigmentation (anomalie morphologique),Existing localized concept
Body structure (body structure),80390003,association mitochondriale avec d'autres composants cellulaires (structure cellulaire),Existing localized concept
Body structure (body structure),80891009,structure du cœur (structure corporelle),Existing localized concept
Body structure (body structure),81016008,structure du disque du nerf optique (structure corporelle),Existing localized concept
Body structure (body structure),81083006,les deux lèvres (structure corporelle),Existing localized concept
Body structure (body structure),81745001,structure de l'oeil (structure corporelle),Existing localized concept
Body structure (body structure),82014009,œdème périphérique (anomalie morphologique),Existing localized concept
Body structure (body structure),82868003,marges chirurgicales (structure corporelle),Existing localized concept
Body structure (body structure),83678007,structure du cerveau (structure corporelle),Existing localized concept
Body structure (body structure),84499006,inflammation chronique (anomalie morphologique),Existing localized concept
Body structure (body structure),84931001,lésion pseudotumorale (anomalie morphologique),Existing localized concept
Body structure (body structure),85756007,structure d'un tissu corporel (structure corporelle),Existing localized concept
Body structure (body structure),85804007,congestion (anomalie morphologique),Existing localized concept
Body structure (body structure),86732001,cicatrice hyperplasique (anomalie morphologique),Existing localized concept
Body structure (body structure),86762007,structure de l'appareil digestif (structure corporelle),Existing localized concept
Body structure (body structure),87100004,topographie inconnue (structure corporelle),Existing localized concept
Body structure (body structure),87784001,tissus mous (structure corporelle),Existing localized concept
Body structure (body structure),88928006,structure du tissu synovial de l'articulation (structure corporelle),Existing localized concept
Body structure (body structure),89187006,structure des voies aériennes (structure corporelle),Existing localized concept
Body structure (body structure),89615005,éléments figurés du sang anormaux (anomalie morphologique),Existing localized concept
Body structure (body structure),90141005,hypertrophie congénitale (anomalie morphologique),Existing localized concept
Body structure (body structure),90522003,élargissement (anomalie morphologique),Existing localized concept
Body structure (body structure),90981002,structure de l'arbre de vie du cervelet (structure corporelle),Existing localized concept
Body structure (body structure),91159003,structure du système auditif (structure corporelle),Existing localized concept
Body structure (body structure),91381003,structure de la cavité pleurale (structure corporelle),Existing localized concept
Body structure (body structure),91532001,structure d'une glande mammaire féminine (structure corporelle),Existing localized concept
Body structure (body structure),91689009,structure d'un système corporel (structure corporelle),Existing localized concept
Body structure (body structure),91722005,entité anatomique physique (structure corporelle),Existing localized concept
Body structure (body structure),91723000,structure anatomique (structure corporelle),Existing localized concept
Body structure (body structure),91745004,les atria du cœur (structure corporelle),Existing localized concept
Body structure (body structure),91746003,les deux ventricules du cœur (structure corporelle),Existing localized concept
Body structure (body structure),91832008,patron d'organisation d'une structure anatomique (structure corporelle),Existing localized concept
Body structure (body structure),91833003,jonction anatomique (structure corporelle),Existing localized concept
Body structure (body structure),103613006,trace d'aiguille (anomalie morphologique),Existing localized concept
Body structure (body structure),103681003,réparation tissulaire altérée (anomalie morphologique),Existing localized concept
Body structure (body structure),107656002,anomalie congénitale (anomalie morphologique),Existing localized concept
Body structure (body structure),107658001,anomalie mécanique (anomalie morphologique),Existing localized concept
Body structure (body structure),107669003,anomalie dégénérative (anomalie morphologique),Existing localized concept
Body structure (body structure),107673000,anomalie cellulaire et/ou subcellulaire (anomalie morphologique),Existing localized concept
Body structure (body structure),107682006,fibrose et/ou anomalie de la réparation (anomalie morphologique),Existing localized concept
Body structure (body structure),110406006,effet de la chirurgie (anomalie morphologique),Existing localized concept
Body structure (body structure),111015002,cicatrice traumatique (anomalie morphologique),Existing localized concept
Body structure (body structure),111016001,cicatrice de brûlure (anomalie morphologique),Existing localized concept
Body structure (body structure),111017005,cicatrice au site d'injection (anomalie morphologique),Existing localized concept
Body structure (body structure),112625008,éruption cutanée (anomalie morphologique),Existing localized concept
Body structure (body structure),112629002,macule (anomalie morphologique),Existing localized concept
Body structure (body structure),113254000,structure du tissu interstitiel du poumon (structure corporelle),Existing localized concept
Body structure (body structure),113257007,structure du système cardiovasculaire (structure corporelle),Existing localized concept
Body structure (body structure),113276009,structure intestinale (structure corporelle),Existing localized concept
Body structure (body structure),113277000,structure de la muqueuse orale (structure corporelle),Existing localized concept
Body structure (body structure),113305005,structure cérébelleuse (structure corporelle),Existing localized concept
Body structure (body structure),113331007,structure du système endocrinien (structure corporelle),Existing localized concept
Body structure (body structure),113343008,structure d'un organe corporel (structure corporelle),Existing localized concept
Body structure (body structure),116003000,structure du système immunitaire (structure corporelle),Existing localized concept
Body structure (body structure),116007004,sites combinés (structure corporelle),Existing localized concept
Body structure (body structure),118760003,viscère en entier (structure corporelle),Existing localized concept
Body structure (body structure),118956008,structure modifiée sur le plan morphologique (anomalie morphologique),Existing localized concept
Body structure (body structure),122453002,structure anatomique intercellulaire (structure corporelle),Existing localized concept
Body structure (body structure),122865005,structure du tractus gastro-intestinal (structure corporelle),Existing localized concept
Body structure (body structure),123850002,partie de la tête (structure corporelle),Existing localized concept
Body structure (body structure),125327000,inflammation guérie (anomalie morphologique),Existing localized concept
Body structure (body structure),125479003,modification extracellulaire (anomalie morphologique),Existing localized concept
Body structure (body structure),125565008,fibrose interstitielle (anomalie morphologique),Existing localized concept
Body structure (body structure),127954009,structure de muscle squelettique (structure corporelle),Existing localized concept
Body structure (body structure),128177006,plaque cutanée (anomalie morphologique),Existing localized concept
Body structure (body structure),128305008,opacité (anomalie morphologique),Existing localized concept
Body structure (body structure),128490007,hétérotopie (anomalie morphologique),Existing localized concept
Body structure (body structure),129258009,tissu en excès (anomalie morphologique),Existing localized concept
Body structure (body structure),133855003,cicatrice radiaire (anomalie morphologique),Existing localized concept
Body structure (body structure),134190002,point gâchette (structure corporelle),Existing localized concept
Body structure (body structure),181157002,combinaison des muscles de l'œil (structure corporelle),Existing localized concept
Body structure (body structure),182017001,deuxième à dixième côtes (structure corporelle),Existing localized concept
Body structure (body structure),190253004,vortex du cœur en entier (structure corporelle),Existing localized concept
Body structure (body structure),243984005,région de l'espace rétropéritonéal en entier (structure corporelle),Existing localized concept
Body structure (body structure),244458002,nerf médian au poignet (structure corporelle),Existing localized concept
Body structure (body structure),245100002,tendon de la coiffe des rotateurs (structure corporelle),Existing localized concept
Body structure (body structure),245849007,altération anatomique postchirurgicale (anomalie morphologique),Existing localized concept
Body structure (body structure),245850007,site de la cicatrice de mastectomie (anomalie morphologique),Existing localized concept
Body structure (body structure),245859008,corps d'un canal (anomalie morphologique),Existing localized concept
Body structure (body structure),256736009,lambeau musculocutané (structure corporelle),Existing localized concept
Body structure (body structure),256874006,poche intestinale (anomalie morphologique),Existing localized concept
Body structure (body structure),258331007,codification des localisations anatomiques aux fins de stadification tumorale (structure corporelle),Existing localized concept
Body structure (body structure),258332000,notation de la localisation de la tumeur: poumon (structure corporelle),Existing localized concept
Body structure (body structure),258333005,notation de la localisation de la tumeur: os (structure corporelle),Existing localized concept
Body structure (body structure),258334004,notation de la localisation de la tumeur: foie (structure corporelle),Existing localized concept
Body structure (body structure),258336002,notation de la localisation de la tumeur: ganglion lymphatique (structure corporelle),Existing localized concept
Body structure (body structure),258337006,notation de la localisation de la tumeur: plèvre (structure corporelle),Existing localized concept
Body structure (body structure),258338001,notation de la localisation de la tumeur: péritoine (structure corporelle),Existing localized concept
Body structure (body structure),258339009,notation de la localisation de la tumeur: glande surrénale (structure corporelle),Existing localized concept
Body structure (body structure),258340006,notation de la localisation de la tumeur: peau (structure corporelle),Existing localized concept
Body structure (body structure),258341005,notation de la localisation de la tumeur: cou (structure corporelle),Existing localized concept
Body structure (body structure),258342003,notation de la localisation de la tumeur: thorax (structure corporelle),Existing localized concept
Body structure (body structure),258343008,notation de la localisation de la tumeur: abdomen (structure corporelle),Existing localized concept
Body structure (body structure),258344002,notation de la localisation de la tumeur: pelvis (structure corporelle),Existing localized concept
Body structure (body structure),258345001,notation de la localisation de la tumeur: orbite (structure corporelle),Existing localized concept
Body structure (body structure),258346000,notation de la localisation de la tumeur: cœur (structure corporelle),Existing localized concept
Body structure (body structure),258347009,notation de la localisation de la tumeur: membre (structure corporelle),Existing localized concept
Body structure (body structure),258348004,notation de la localisation de la tumeur: autre (structure corporelle),Existing localized concept
Body structure (body structure),261757000,poche du dartos (anomalie morphologique),Existing localized concept
Body structure (body structure),264315005,résidu mésentérique (anomalie morphologique),Existing localized concept
Body structure (body structure),264457000,moignon du conduit cystique (anomalie morphologique),Existing localized concept
Body structure (body structure),272673000,structure osseuse (structure corporelle),Existing localized concept
Body structure (body structure),277943000,voie de conduction ventriculaire (structure corporelle),Existing localized concept
Body structure (body structure),278001007,siège non spécifique (structure corporelle),Existing localized concept
Body structure (body structure),279549004,structure de la cavité nasale (structure corporelle),Existing localized concept
Body structure (body structure),280115004,structure corporelle acquise (structure corporelle),Existing localized concept
Body structure (body structure),280158000,structure de la peau de la région anogénitale (structure corporelle),Existing localized concept
Body structure (body structure),280369009,structure du tissu encéphalique (structure corporelle),Existing localized concept
Body structure (body structure),280542007,structure d'une paroi corporelle (structure corporelle),Existing localized concept
Body structure (body structure),280865006,fibres méridiennes du muscle ciliaire en entier (structure corporelle),Existing localized concept
Body structure (body structure),281159003,structure artérielle systémique (structure corporelle),Existing localized concept
Body structure (body structure),281231009,structure vasculaire de la tête (structure corporelle),Existing localized concept
Body structure (body structure),281488008,voies respiratoires inférieures en entier (structure corporelle),Existing localized concept
Body structure (body structure),281834009,structure urinaire postchirurgicale (anomalie morphologique),Existing localized concept
Body structure (body structure),308762002,structure corporelle embryologique (structure corporelle),Existing localized concept
Body structure (body structure),312285003,structure postchirurgicale du sein (anomalie morphologique),Existing localized concept
Body structure (body structure),312286002,structure postchirurgicale du système cardiovasculaire (anomalie morphologique),Existing localized concept
Body structure (body structure),313367003,notation de la localisation de la tumeur: encéphale (structure corporelle),Existing localized concept
Body structure (body structure),314292007,disposition des dermatoglyphes en entier (structure corporelle),Existing localized concept
Body structure (body structure),314738007,structure d'un nerf périphérique d'un membre supérieur (structure corporelle),Existing localized concept
Body structure (body structure),318340006,multiples sites topographiques en entier (structure corporelle),Existing localized concept
Body structure (body structure),321373007,structure de la disposition des dermatoglyphes plantaires (structure corporelle),Existing localized concept
Body structure (body structure),321472003,structure de la disposition des dermatoglyphes palmaires (structure corporelle),Existing localized concept
Body structure (body structure),321667001,structure des voies respiratoires (structure corporelle),Existing localized concept
Body structure (body structure),361083003,anatomie normale (structure corporelle),Existing localized concept
Body structure (body structure),361295005,toutes les viscères abdominales (structure corporelle),Existing localized concept
Body structure (body structure),362205002,voies génito-urinaires supérieures en entier (structure corporelle),Existing localized concept
Body structure (body structure),362508001,les deux yeux&#44; en entier (structure corporelle),Existing localized concept
Body structure (body structure),362889002,structure anatomique en entier (structure corporelle),Existing localized concept
Body structure (body structure),363564008,végétation (anomalie morphologique),Existing localized concept
Body structure (body structure),367651003,néoplasie maligne (morphologie) (anomalie morphologique),Existing localized concept
Body structure (body structure),369050008,arbre de vie du cervelet en entier (structure corporelle),Existing localized concept
Body structure (body structure),371432009,névrome cicatriciel (anomalie morphologique),Existing localized concept
Body structure (body structure),397017008,anomalie d'un mastocyte (anomalie morphologique),Existing localized concept
Body structure (body structure),399016005,pseudomembrane (anomalie morphologique),Existing localized concept
Body structure (body structure),399591009,changement morphologique liée à une thérapie (anomalie morphologique),Existing localized concept
Body structure (body structure),399984000,forme anormale (anomalie morphologique),Existing localized concept
Body structure (body structure),400090007,structure de l'appareil pilosébacé (structure corporelle),Existing localized concept
Body structure (body structure),400183000,lésion exfoliative (anomalie morphologique),Existing localized concept
Body structure (body structure),400199006,structure de la peau et/ou de l'épithélium (structure corporelle),Existing localized concept
Body structure (body structure),408764000,bulle filtrante (anomalie morphologique),Existing localized concept
Body structure (body structure),409766009,cicatrice atrophique (anomalie morphologique),Existing localized concept
Body structure (body structure),409774005,morphologie d'une inflammation (anomalie morphologique),Existing localized concept
Body structure (body structure),410609009,site donneur (structure corporelle),Existing localized concept
Body structure (body structure),410611000,lit receveur (structure corporelle),Existing localized concept
Body structure (body structure),413884004,rétraction des fibres de collagène (anomalie morphologique),Existing localized concept
Body structure (body structure),414402003,orifice herniaire (anomalie morphologique),Existing localized concept
Body structure (body structure),414781009,structure d'une muqueuse (structure corporelle),Existing localized concept
Body structure (body structure),415582006,sténose (anomalie morphologique),Existing localized concept
Body structure (body structure),415588005,stomie et/ou site de stomie (anomalie morphologique),Existing localized concept
Body structure (body structure),416502004,ligne de suture (anomalie morphologique),Existing localized concept
Body structure (body structure),418560003,absence (anomalie morphologique),Existing localized concept
Body structure (body structure),419910009,cavité de mastoïdectomie (anomalie morphologique),Existing localized concept
Body structure (body structure),420864000,groupe d'entités anatomiques (structure corporelle),Existing localized concept
Body structure (body structure),421466002,structure d'une veine périphérique (structure corporelle),Existing localized concept
Body structure (body structure),422499002,structure d'une hémicavité thoracique latérale au plan sagittal médian (structure corporelle),Existing localized concept
Body structure (body structure),422525002,structure des structures bilatérales appariées (structure corporelle),Existing localized concept
Body structure (body structure),422723007,structure d'un hémi-abdomen latéral au plan sagittal médian (structure corporelle),Existing localized concept
Body structure (body structure),425441005,groupe de poils (structure corporelle),Existing localized concept
Body structure (body structure),426405000,consolidation anormale de fracture (anomalie morphologique),Existing localized concept
Body structure (body structure),430636002,structure des tissus mous d'une extrémité (structure corporelle),Existing localized concept
Body structure (body structure),438074005,cul-de-sac postérieur de la voûte vaginale (anomalie morphologique),Existing localized concept
Observable entity (observable entity),365007,biorythme circaseptidien (entité observable),Existing localized concept
Observable entity (observable entity),413009,photophosphorylation (entité observable),Existing localized concept
Observable entity (observable entity),477001,suggestibilité (entité observable),Existing localized concept
Observable entity (observable entity),1255009,transfert d'électron (entité observable),Existing localized concept
Observable entity (observable entity),1314008,transformation de l'antigène (entité observable),Existing localized concept
Observable entity (observable entity),1524004,maturation mégacaryocytaire (entité observable),Existing localized concept
Observable entity (observable entity),1925005,fonction du tissu subcutané (entité observable),Existing localized concept
Observable entity (observable entity),2465003,chimiotaxie des neutrophiles (entité observable),Existing localized concept
Observable entity (observable entity),3049003,regroupement neuronal dans la paroi gastro-intestinale (entité observable),Existing localized concept
Observable entity (observable entity),3371003,action ciliaire (entité observable),Existing localized concept
Observable entity (observable entity),3384007,illumination (entité observable),Existing localized concept
Observable entity (observable entity),3709003,mouvement respiratoire (entité observable),Existing localized concept
Observable entity (observable entity),3791008,effet Bohr (entité observable),Existing localized concept
Observable entity (observable entity),3850002,fonction psychologique (entité observable),Existing localized concept
Observable entity (observable entity),4065008,affect (entité observable),Existing localized concept
Observable entity (observable entity),4452006,adaptation (entité observable),Existing localized concept
Observable entity (observable entity),4605009,fonction cérébrale (entité observable),Existing localized concept
Observable entity (observable entity),5410007,phosphorylation oxidative (entité observable),Existing localized concept
Observable entity (observable entity),5418000,défense de l'hôte (entité observable),Existing localized concept
Observable entity (observable entity),6588002,contraction péristaltique tertiaire de l'œsophage (entité observable),Existing localized concept
Observable entity (observable entity),6723007,durée de vie des granulocytes (entité observable),Existing localized concept
Observable entity (observable entity),6769007,attention (entité observable),Existing localized concept
Observable entity (observable entity),6797001,pression sanguine moyenne (entité observable),Existing localized concept
Observable entity (observable entity),6886007,transport biologique actif (entité observable),Existing localized concept
Observable entity (observable entity),7205007,équilibre (entité observable),Existing localized concept
Observable entity (observable entity),7261001,sécrétion plasmocytaire (entité observable),Existing localized concept
Observable entity (observable entity),7542004,statut personnel (entité observable),Existing localized concept
Observable entity (observable entity),7749005,croissance corporelle (entité observable),Existing localized concept
Observable entity (observable entity),8469004,domaine immunitaire (entité observable),Existing localized concept
Observable entity (observable entity),8499008,pouls (entité observable),Existing localized concept
Observable entity (observable entity),8521004,fonction palpébrale (entité observable),Existing localized concept
Observable entity (observable entity),8581002,inhibition neuronale (entité observable),Existing localized concept
Observable entity (observable entity),8586007,réponse postprandiale de sécrétion d'acide gastrique (entité observable),Existing localized concept
Observable entity (observable entity),8625004,statut juridique (entité observable),Existing localized concept
Observable entity (observable entity),9964006,flexion (entité observable),Existing localized concept
Observable entity (observable entity),10142005,état chronobiologique (entité observable),Existing localized concept
Observable entity (observable entity),11554009,adduction (entité observable),Existing localized concept
Observable entity (observable entity),11769008,compétition antigène (entité observable),Existing localized concept
Observable entity (observable entity),11798007,anabolisme (entité observable),Existing localized concept
